Superset Section,EU,CH,FR,DE,SE,ES,PL,BR,UAE,IL,US,IN,PK,BD,AU,NZ,UK,CA,CN,KR,TW,IR,MY,JP,RU,MX,SA,ZA
01. Title,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Título da Invenção,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Title of Invention,Título de la Invención,Title of Invention,Title of Invention
02. Preamble,(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),The following specification particularly describes...,The following specification particularly describes...,The following specification particularly describes...,(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A)
03. Cross-Ref/Fed,(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),Cross-Reference... / Gov. License Rights,(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A)
04. Tech Field,Technical Field,Technical Field,Technical Field,Technical Field,Technical Field,Technical Field,Technical Field,Campo da Invenção,Technical Field,Technical Field,Field of the Invention,Field of Invention,Field of Invention,Field of Invention,Technical Field,Technical Field,Technical Field,Technical Field,Technical Field,Technical Field,Technical Field,Technical Field,Technical Field,Technical Field,Technical Field,Campo Técnico,Technical Field,Technical Field
05. Background,Background Art,Background Art,Background Art,Background Art,Background Art,Background Art,Background Art,Fundamentos da Invenção,Background Art,Background Art,Background of the Invention,Background of the Invention,Background of the Invention,Background of the Invention,Background of the Invention,Background of the Invention,Background of the Invention,Background of the Invention,Background Art,Background Art,Background Art,Background Art,Background Art,Background Art,Background Art,Antecedentes de la Invención,Background Art,Background of the Invention
06. Objects,(Recommended/NA),(Recommended/NA),(Recommended/NA),(Recommended/NA),(Recommended/NA),(Recommended/NA),(Recommended/NA),(N/A),(N/A),(N/A),(N/A),Object(s) of the Invention,Object(s) of the Invention,Object(s) of the Invention,(N/A),(N/A),(Recommended),(N/A),(N/A),(N/A),(N/A),(N/A),(Recommended/NA),(N/A),(N/A),Objetivo de la invención,(N/A),(Recommended/NA)
07. Summary (Gen),Summary of the Invention,Summary of the Invention,Summary of the Invention,Summary of the Invention,Summary of the Invention,Summary of the Invention,Summary of the Invention,Sumário da Invenção,Summary of the Invention,Summary of the Invention,Brief Summary of the Invention,Summary of the Invention,Summary of the Invention,Summary of the Invention,Summary of the Invention,Summary of the Invention,Summary of the Invention,Summary of the Invention,Summary of Invention,Content of Invention,Content of Invention,Summary of Invention,Summary of Invention,Summary of the Invention,Summary of the Invention,Breve Resumen de la Invención,Summary of the Invention,Summary of the Invention
07a. Tech Problem,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(Recommended),(Recommended),(NA),(NA),Technical Problem,Technical Problem,Technical Problem,Technical Problem,(NA),Technical Problem,(NA),(NA),(Recommended),(NA)
07b. Tech Solution,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(Recommended),(Recommended),(NA),(NA),Technical Solution,Technical Solution,Technical Solution,Technical Solution,(NA),Solution to Problem,(NA),(NA),(Recommended),(NA)
07c. Effects,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(Recommended),(Recommended),(NA),(NA),Advantageous Effects,Advantageous Effects,Advantageous Effects,(NA),(NA),Advantageous Effects of Invention,(NA),(NA),(Recommended),(NA)
08. Drawings,Brief Description of Drawings,Brief Description of Drawings,Brief Description of Drawings,Brief Description of Drawings,Brief Description of Drawings,Brief Description of Drawings,Brief Description of Drawings,Breve Descrição dos Desenhos,Brief Description of Drawings,Brief Description of Drawings,Brief Description of the Several Views of the Drawing,Brief Description of the Accompanying Drawings,Brief Description of the Accompanying Drawings,Brief Description of the Accompanying Drawings,Brief Description of the Drawings,Brief Description of the Drawings,Brief Description of the Drawings,Brief Description of the Drawings,Brief Description of Drawings,Brief Description of Drawings,Brief Description of Drawings,Brief Description of Drawings,Brief Description of Drawings,Brief Description of Drawings,Brief Description of the Drawings,Breve Descripción de las Figuras,Brief Description of Drawings,Brief Description of the Drawings
09. Detailed Desc,"Detailed Description (or ""Description of Embodiments"")","Detailed Description (or ""Description of Embodiments"")","Detailed Description (or ""Description of Embodiments"")","Detailed Description (or ""Description of Embodiments"")","Detailed Description (or ""Description of Embodiments"")","Detailed Description (or ""Description of Embodiments"")","Detailed Description (or ""Description of Embodiments"")",Descrição Detalhada da Invenção,Detailed Description,Detailed Description,Detailed Description of the Invention,Detailed Description of the Invention,Detailed Description of the Invention,Detailed Description of the Invention,Description of Embodiments,Description of Embodiments,Detailed Description,Detailed Description,Specific Mode for Carrying Out the Invention,Detailed Description of the Invention,Detailed Description of the Invention,Detailed Description,Detailed Description,Detailed Description of the Invention,Detailed Description of the Invention,Descripción Detallada,Detailed Description,Detailed Description
10. Best Mode,(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),(N/A),Best Mode (NA in Desc),(Include in Detailed Desc),(Include in Detailed Desc),(Include in Detailed Desc),Best Method of Performance,Best Method of Performance,(N/A),(N/A),(N/A),(N/A),(N/A),(NA),Best Mode,(N/A),(N/A),(N/A),(N/A),Best Method of Performance
11. Ind. Applicability,Industrial Applicability,Industrial Applicability,Industrial Applicability,Industrial Applicability,Industrial Applicability,Industrial Applicability,Industrial Applicability,(NA),(Required if not obvious),(Required if not obvious),(N/A - Utility),(N/A),(N/A),(N/A),(Recommended/NA),(Recommended/NA),(N/A),(N/A),(NA),(NA),(NA),(NA),(NA),Industrial Applicability,(Required if needed),(NA),(NA),(NA)
12. Claims,Claims,Claims,Claims,Claims,Claims,Claims,Claims,Reivindicações,Claims,Claims,Claims,Claims,Claims,Claims,Claims,Claims,Claims,Claims,Claims,Claims,Claims,Claims,Claims,Claims,Claims,Reivindicaciones,Claims,Claims
13. Abstract,Abstract,Abstract,Abstract,Abstract,Abstract,Abstract,Abstract,Resumo,Abstract,Abstract,Abstract of the Disclosure,Abstract,Abstract,Abstract,Abstract,Abstract,Abstract,Abstract,Abstract,Abstract,Abstract,Abstract,Abstract,Abstract,Abstract,Resumen,Abstract,Abstract
